,0,1,2,0
62,16-20s,itr3,Node 2,"[2757, 3657, 3158, 2059, 2033, 1902, 1598, 1669, 1412, 1244, 1442, 472, 1836, 519, 3184, 1839, 670, 371, 1945, 1565]"
63,16-20s,itr3,Node 3,"[2757, 2169, 2059, 1902, 1598, 1669, 1412, 1244, 1442, 472, 1836, 519, 1839, 670, 371, 1945, 1565]"
64,16-20s,itr3,Node 1,"[2757, 2169, 3158, 2059, 2033, 1902, 1598, 1669, 1412, 195, 1442, 472, 1836, 519, 3184, 1839, 670, 371, 1945, 1565]"
65,16-20s,itr4,Node 2,"[2529, 2715, 750, 1611, 882, 3327, 969, 2784, 1338, 703, 1069, 1106, 1450, 752, 3186, 1509, 2771, 1905]"
66,16-20s,itr4,Node 1,"[2715, 750, 1611, 882, 5972, 2784, 1338, 2989, 703, 1069, 1106, 1450, 752, 3186, 1509, 2771, 1905]"
67,16-20s,itr4,Node 3,"[2529, 2715, 750, 1611, 882, 969, 3327, 1462, 1338, 2989, 703, 1069, 1106, 1450, 752, 3186, 1509, 2771, 1905]"
68,16-20s,itr4,Node4,"[2529, 2715, 1611, 3011, 882, 2784, 1462, 1338, 2989, 703, 1069, 1450, 752, 3186, 1509, 2771, 1905]"
69,16-20s,itr4,Node5,"[2529, 750, 1611, 882, 1462, 2784, 1338, 2989, 703, 1069, 1106, 1450, 752, 1509, 2771, 1905]"
70,16-20s,itr5,Node 1,"[2586, 1814, 789, 773, 667, 3776, 799, 464, 233, 5827, 196]"
71,16-20s,itr5,Node 2,"[5602, 2586, 3104, 1814, 2564, 789, 2479, 773, 3776, 799, 312, 233, 5827, 196, 5637]"
72,16-20s,itr5,Node 3,"[3104, 1814, 2564, 789, 2479, 773, 3776, 799, 5422, 312, 5827, 196, 5637]"
73,16-20s,itr5,Node4,"[2586, 5602, 1814, 789, 2479, 667, 3776, 799, 215, 233, 5827, 196]"
74,16-20s,itr5,Node5,"[4708, 2586, 3104, 1814, 2564, 789, 667, 773, 3776, 799, 233, 312, 5827, 196]"
75,16-20s,itr6,Node4,"[1435, 2451, 3314, 881, 934, 4913, 419, 102, 132, 4007, 355, 61, 532, 3, 2, 2]"
76,16-20s,itr6,Node5,"[1435, 2451, 3314, 934, 881, 4913, 419, 438, 132, 4007, 355, 70, 532, 3, 2, 2]"
77,16-20s,itr6,Node 1,"[1435, 2451, 3314, 2982, 4913, 419, 2838, 132, 4007, 355, 6282, 70, 532, 3, 2, 2]"
78,16-20s,itr6,Node 2,"[1435, 2451, 3314, 1427, 934, 4913, 419, 132, 438, 4007, 355, 115, 532, 3, 2, 2]"
79,16-20s,itr6,Node 3,"[1435, 2451, 3314, 2982, 934, 4913, 419, 1361, 132, 4007, 355, 105, 532, 3, 2, 2]"
80,16-20s,itr7,Node5,"[3057, 3207, 992, 1761, 877, 3121, 1847, 9227, 5865, 5469, 923, 7256]"
81,16-20s,itr7,Node4,"[3057, 992, 877, 1761, 3121, 1847, 5865, 92, 923, 7256]"
82,16-20s,itr7,Node 3,"[3057, 3207, 992, 4297, 1761, 3121, 6805, 1847, 5865, 923, 92, 7256]"
83,16-20s,itr7,Node 2,"[3057, 3207, 992, 4297, 1761, 3723, 3121, 1847, 5865, 5469, 8936, 923, 7256]"
